,r2,r,MAE,MSE,RMSE
0,0.10661112700864347,0.32651359391094803,0.11635952269677652,0.02108073552126135,0.1451920642502935
1,-0.030753620666004133,,0.10939330729724168,0.018039778395505822,0.13431224216543264
2,0.07971901514771143,0.28234555981582465,0.11697930574178532,0.021540463652658853,0.14676669803691453
3,0.03185007905182109,0.17846590445186186,0.10572569840309362,0.017524860710929867,0.13238149686013476
4,0.11464902191738062,0.3385986147599848,0.10505405102686982,0.01721927950267586,0.13122225231520704
5,-0.0505012961061563,,0.11179730982014084,0.019183222689267358,0.13850351146908643
6,0.13665027967857152,0.3696623860748771,0.1251252886047888,0.022726289689291763,0.1507524118854878
7,0.05093725043050505,0.22569282317013328,0.10843492858030515,0.01866331843411073,0.1366137563867956
8,0.08326336913615533,0.28855392760479853,0.11786060497396374,0.021836557662624857,0.14777197861105082
9,-0.008875281460242922,,0.1080011037861666,0.018555159600023227,0.13621732488939586
10,0.12169932213652623,0.3488542992948865,0.10455686391368682,0.017252141800781322,0.13134740880878207
11,0.13308833800469874,0.36481274375314626,0.11531891430848848,0.020470455743691003,0.14307500041478596
12,0.1117074352475081,0.33422662258938635,0.11463895062227095,0.020394226272199913,0.14280835505039582
13,0.03842074676250227,0.19601210871398295,0.11022193780285719,0.019530778116412864,0.13975256032149416
14,0.01819805887130177,0.13490018113887678,0.12267749963215449,0.0241647929070587,0.15545029079116804
15,0.15225430584871072,0.39019777786234344,0.10223717596590087,0.016848944839972575,0.12980348546927611
16,0.17481472221567723,0.418108505313725,0.10876095271757905,0.01837966052028058,0.1355716066153993
17,0.060784352994902924,0.24654482958460702,0.1000572062248096,0.014908417689786235,0.12210003148970207
18,0.03539765097033469,0.1881426346428015,0.12186063660928706,0.02318430322911605,0.152263926223896
19,0.07732896963040119,0.27808086886803485,0.11856635710217363,0.022242222586458422,0.14913826667377633
20,-0.10400412180423824,,0.11688628085978778,0.020737970829959318,0.14400684299698857
21,0.14271656799130958,0.37777846417088096,0.11373416369144289,0.0198091240409704,0.14074488992844608
22,0.12662250710798656,0.3558405641688234,0.1143603947136614,0.019926596842601,0.14116159832830244
23,0.19778590218200298,0.44473126962470605,0.10293097032010659,0.015874338827588517,0.1259934078735412
24,0.03297257480455542,0.1815835201898989,0.10651921465507866,0.01762032453984864,0.13274157050392557
25,-0.02063709901569124,,0.11573128486955953,0.02066593880201893,0.14375652611975195
26,0.08358960923504763,0.289118676731628,0.1238572148364323,0.023169895955411225,0.1522166086713642
27,0.1324592750977809,0.3639495502096148,0.1084738274083461,0.017620332057454058,0.13274159882061862
28,0.15401577155840743,0.3924484317186239,0.1142323754440779,0.02020228567445604,0.14213474478274493
29,-0.0020225647913619583,,0.11538133738826872,0.021337550010901183,0.14607378276371563
30,0.0850743301070962,0.2916750419681057,0.1162305742344644,0.020321750620144206,0.1425543777656239
31,0.12544975994667468,0.3541888760910973,0.11492465209159271,0.020745703616290787,0.14403368917128653
32,0.15691349045786285,0.39612307488691295,0.10986381008885324,0.018914505025260358,0.13753001499767373
33,0.0824768629512221,0.28718785307046346,0.12325316073782433,0.023134017356840005,0.15209870925435234
34,0.01087859645619913,0.10430051033527654,0.12529605557600282,0.024026949875189718,0.15500628979234912
35,0.06847158204865231,0.26167075122881484,0.12252493415186236,0.02224407990373916,0.14914449337383917
36,0.03262433939529204,0.1806220899981285,0.12478136504091744,0.024625518087976684,0.15692519902162522
37,-0.04122018717501082,,0.1383568295671768,0.028508307797278375,0.16884403394043385
38,-0.042282841369996514,,0.11598584037350648,0.020281429347433353,0.14241288336184107
39,0.16135293383109034,0.40168760726600755,0.09782558180818376,0.015591481928146722,0.12486585573385033
40,0.14448595706169587,0.3801130845704945,0.11562147744390945,0.020458841270344606,0.14303440589712885
41,0.025007573909209248,0.1581378319985741,0.1169883550425181,0.021722568059173986,0.14738577970473946
42,0.00614581702938124,0.07839526152377604,0.10768896770467729,0.017560415905142342,0.13251571946430485
43,-0.16819833353690505,,0.10204593487111564,0.017326092701299766,0.13162861657443553
44,0.07257009113066926,0.26938836487619366,0.11589344648855233,0.02130242923193808,0.14595351736747586
45,0.037876146120874955,0.19461794912308308,0.11250106331731033,0.020283562540445898,0.1424203726313265
46,0.06033733415344187,0.24563658960635704,0.1176321935938707,0.022006625676589835,0.1483463032117411
47,0.1745862942581528,0.41783524774503267,0.11874303919100893,0.020714236331812665,0.14392441186891355
48,0.0177893042393819,0.13337655056036612,0.10681696978503559,0.01748485752917293,0.132230320007073
49,0.07145749403687318,0.26731534568159976,0.10386065922821464,0.017923095002063398,0.13387716385576517
50,0.07355698779161053,0.2712139151880127,0.10487467101021122,0.0177623853170951,0.13327559910611958
51,0.09325546427067202,0.30537757656820846,0.1284463128061109,0.02457883208754489,0.15677637605055453
52,0.17879558445931482,0.42284226900738625,0.10526854120978571,0.016990406553552356,0.13034725372462727
53,0.04147564275598388,0.2036556965959555,0.11017045870416342,0.018745858035972292,0.13691551422673873
54,0.11784281219347977,0.34328240880283944,0.11601960649200371,0.021168214689620816,0.14549300563814335
55,0.0705474635255822,0.26560772489817047,0.10583369438933057,0.017933888507419095,0.13391746901513296
56,0.08644516569582798,0.29401558750486,0.12069817293352107,0.022542724256023806,0.150142346644855
57,0.17153275898700332,0.41416513492446866,0.10339601613205454,0.01650387247323425,0.12846739848395097
58,0.003906582082877174,0.06250265660655693,0.12874520627894487,0.025353744832227614,0.1592285930108899
59,0.056543641707787494,0.23778906978199713,0.11544499626260323,0.020761628712089558,0.14408896110420658
60,0.011391428803016778,0.10673063666547097,0.10134099020458084,0.016249588586044285,0.12747387413130695
61,0.054548101611445056,0.2335553502094205,0.11003336239864228,0.01952875552744,0.1397453238124267
62,-0.09062040464983825,,0.12011812718456864,0.023191462205754042,0.15228743285561697
63,-0.03232447440565558,,0.11418267585422107,0.020508310634991346,0.14320722968827848
64,0.0757485596095798,0.27522456214803903,0.11552586862365957,0.020410399914408406,0.14286497091452616
65,0.11413517310421795,0.3378389751112473,0.10695592768486648,0.019092102933201266,0.13817417607209123
66,0.1572021164956549,0.3964872211000689,0.12270288215221455,0.02305938361869011,0.1518531646647185
67,0.01641982701448601,0.12813987285184114,0.11813200337091112,0.020785180829382834,0.14417066563411168
68,0.07510457738203129,0.27405214354576996,0.10770929923940711,0.01790486902537114,0.13380907676750162
69,0.052234303589259554,0.2285482522122179,0.12776616423474318,0.02449135978894003,0.1564971558493637
70,0.02639067771635093,0.16245207821493368,0.12266572674763884,0.02364484479927643,0.15376880307551474
71,0.04908359429551699,0.22154817601487264,0.10533253827760039,0.018840543236761577,0.13726085835649424
72,0.15537836048574155,0.39418061911481844,0.1076624517176104,0.018060715512636483,0.13439016151726466
73,0.1263580109601815,0.35546872008684743,0.1146438428475196,0.020145641449097588,0.14193534249473452
74,0.09043758472420693,0.30072842353892476,0.09983235334968073,0.01588265092374597,0.12602638979097183
75,0.17194541078447786,0.4146630087004119,0.11173931121612543,0.019909543947223402,0.14110118336577976
76,-0.003940357718060961,,0.11614871252649031,0.02112688153463657,0.1453508910692899
77,0.13458803946495262,0.3668624258014885,0.10453396189328105,0.016420402168701304,0.12814211707592982
78,0.0036051599367104893,0.060042984075664406,0.12155665505343607,0.024144293008566957,0.15538433965032306
79,0.07124528214835688,0.2669181188086655,0.12797347807911144,0.025947596014969633,0.1610825751438362
80,0.021190837892017568,0.14557073157753095,0.11520802617250289,0.021850833007883465,0.14782027265528724
81,0.03023745594632521,0.17388920595116078,0.11948429121324085,0.02193984348517689,0.14812104335703583
82,0.09693711442834996,0.311347256979004,0.12284108532101401,0.02413928299566031,0.15536821745666102
83,0.14302762013347398,0.3781899260073885,0.10826536749432739,0.018103526200915314,0.13454934485502082
84,0.014856097184812822,0.12188559055447376,0.12160227961848702,0.023079308351299253,0.15191875575879119
85,0.018209803590794826,0.13494370526554703,0.11864314388416297,0.022107438589600972,0.14868570405254491
86,0.10416583049371461,0.3227473167877846,0.10716231703379309,0.017938905115456594,0.13393619792817996
87,0.016379133279935298,0.12798098796280366,0.12538175058934647,0.024009496269322455,0.15494997989455325
88,0.04305608870746151,0.20749961134291678,0.11975413537246546,0.0226369954707864,0.15045595857521363
89,-0.023153131512213522,,0.1181444469569692,0.021882070585847006,0.14792589558913274
90,0.06352869939126575,0.25204900196443103,0.11266465240403836,0.019434703353731455,0.13940840488912945
91,0.02523677943394722,0.1588608807540334,0.12176190645945643,0.023504348115798407,0.15331127850161058
92,0.18430373412177653,0.4293061077154348,0.10040364569864639,0.01589502770712594,0.12607548416375777
93,0.09637204833665931,0.3104384775388826,0.11782125414146771,0.02019676133338837,0.142115309989418
94,0.008346350335515496,0.09135836215429596,0.11435492959429547,0.020830174937501972,0.1443266258786021
95,0.24772154366967553,0.49771632851422054,0.10059624907079918,0.016857625787519582,0.1298369199708603
96,0.11196619223089625,0.3346134967853154,0.1093492374956693,0.019445825114145273,0.13944828831558054
97,0.08891921267869848,0.2981932472050608,0.13297765822376495,0.02599210068415827,0.16122065836659477
98,0.1354004706623494,0.3679680294024868,0.10675740284522314,0.01790827721732727,0.13382181144091299
99,0.008808655782355523,0.09385443933216757,0.12849521228618108,0.02578128724493544,0.16056552321384387
100,0.0934030366301875,0.30561910383709245,0.10538504516998817,0.0172610413282664,0.13138128225994145
101,-0.01155054721593105,,0.13147220415027752,0.026455877129698813,0.1626526271835128
102,0.08447696608223595,0.2906492148316179,0.11158019012682208,0.018820462726296155,0.13718769159912325
103,0.0988731852471451,0.3144410680034418,0.11820126344816972,0.020933382294706492,0.14468373196287995
104,0.04028825848811648,0.20071935255006298,0.10861585144395396,0.019551814271786712,0.13982780221324626
105,0.04642495772057249,0.21546451615190026,0.10596777017148913,0.01797152721449599,0.13405792484779105
106,0.1473457767449538,0.3838564533063809,0.11080053630038593,0.019507817668640633,0.13967038937670587
107,0.103726890812922,0.32206659375495933,0.11240554694686411,0.01922875285419783,0.1386677787166068
108,0.07770953965465421,0.2787643084303552,0.12222342365048837,0.02311626568468462,0.15204034229336838
109,0.03321235167472196,0.18224256274186323,0.11018729181415124,0.017995644833134396,0.13414784691948803
110,-0.011670502064472265,,0.10575142466277143,0.017510752959399037,0.13232820167824785
111,0.007865821102692938,0.08868946444021938,0.1122535461410253,0.020985810896504812,0.14486480213117614
112,0.07263390464237837,0.269506780327283,0.10129884734027854,0.01705203232114855,0.13058343050000085
113,0.045003110004763466,0.21213936458084215,0.1108862061618349,0.018558006046848742,0.1362277726708058
114,0.06619209603162175,0.257278246324134,0.10642633995679737,0.01750612695070151,0.13231072122357096
115,0.1459812042826944,0.38207486737901825,0.11097320067199842,0.018607548065047386,0.13640948671205894
116,0.04267177673712095,0.20657148093849004,0.12210716726999102,0.023733579596993654,0.15405706604045674
117,0.06154710218567745,0.24808688434836182,0.13162388132677272,0.026829606015650174,0.16379745424044348
118,-0.026904321117743813,,0.11562087009708617,0.021626951615215006,0.1470610472396243
119,0.05366019295324385,0.23164669855891287,0.09651899646952508,0.01529893950857981,0.12368888191175394
120,0.1769516167220456,0.42065617399729865,0.10958468039240336,0.018561685242493058,0.13624127583993428
121,0.01955199742074625,0.13982845712066713,0.10286581053134858,0.016913883778261796,0.1300533881844752
122,0.04778706764329967,0.21860253347868516,0.11829079784723395,0.022881020384825958,0.15126473609148286
123,0.051841298594821894,0.2276868432624553,0.10923585844718257,0.018628812036115473,0.13648740614472632
124,-0.0029795411564311316,,0.11825132107354822,0.022933074271805513,0.15143670054450312
125,-0.049836948033636363,,0.1206269171581544,0.023536863123152077,0.153417284303797
126,0.1007117396978924,0.3173511299773366,0.11136310387851507,0.019296426661588262,0.13891157857280387
127,0.04912699309493247,0.22164609875865732,0.11384741939702456,0.01956371596949847,0.13987035414804122
128,-0.10807654261230075,,0.12274525616368252,0.024479469501307104,0.15645916240766183
129,0.1698945985385539,0.41218272469689204,0.1218664158377953,0.022645606292249758,0.15048457160868606
130,-0.0193066802482742,,0.11939292366237153,0.022634203615428474,0.15044668030710573
131,0.023609275939179053,0.15365310260186435,0.11584039076741956,0.020580800564843245,0.1434601009509029
132,0.05961481732677583,0.24416145749641943,0.11781469759233662,0.02212355631267899,0.14873989482542668
133,0.04966345075999601,0.22285298014609545,0.10033856650254966,0.01636718146690886,0.1279342857365017
134,0.05694901156263181,0.23863992030385822,0.10636184178023933,0.01774264337699781,0.13320151416931345
135,-0.002078968863645181,,0.10558568539070183,0.017437983288050452,0.13205295637754746
136,-0.08294857256007737,,0.10851153699145852,0.018512132471014374,0.1360592976279621
137,-0.06971295466757277,,0.11230893817730477,0.02139717784220105,0.14627774212846276
138,-0.00910635076966979,,0.11715744518794953,0.02215547530909048,0.1488471541853941
139,0.02122112304370083,0.1456747165561026,0.11718814417030772,0.022181106610081568,0.1489332286968948
140,0.009852222857510218,0.09925836416902215,0.12287271945334502,0.023703716987168916,0.15396011492321288
141,-0.13258745008876976,,0.11228046073665335,0.01930818352306869,0.13895388991701055
142,0.12343048143037898,0.35132674454185664,0.12104992116301824,0.021981866705936073,0.14826282981899433
143,0.03894247639338431,0.19733848178544475,0.11669952505441353,0.0213961730680969,0.1462743076144847
144,0.044174481464976156,0.2101772620075163,0.11720168485461939,0.021636025270097402,0.14709189396461453
145,0.11613200045473937,0.34078145556168304,0.1079399034244021,0.01774113792618049,0.13319586302201916
146,0.04348567449748823,0.20853219055457178,0.11806468269155668,0.021427853034484187,0.14638255713876633
147,0.021675549399836604,0.14722618449119912,0.1195555363686293,0.02114730078704728,0.14542111534109234
148,0.004529255184023429,0.06729974133697268,0.11916531831673398,0.023128447460347003,0.1520803980148231
149,0.07284624743345351,0.26990043985413126,0.11285456120656812,0.018734606578397713,0.13687441900661246
150,-0.02278515912142205,,0.12738119982397492,0.025782993935391053,0.1605708377489233
151,0.1499147071103383,0.3871882063161768,0.10670207672871815,0.017694378379534574,0.1330202179352243
152,-0.0019190564569638636,,0.10610744745141254,0.017667992728321667,0.1329210018331252
153,0.027520061629475845,0.16589171657884502,0.10154722864508672,0.016463548100115015,0.12831035850668884
154,0.04221574216849759,0.2054646981077226,0.1177218609075132,0.02214947911999069,0.14882701072046933
155,-0.03169045965487525,,0.1159322710751726,0.021180944985974955,0.1455367478885486
156,0.11526741080388661,0.33951054593913077,0.11351004862909468,0.018802045333746437,0.13712055036990786
157,-0.11004372375001115,,0.1314079178283964,0.02645027350057689,0.16263540051470002
158,0.06933108360722488,0.2633079634329826,0.1181239085165869,0.02224969490253299,0.14916331620922416
159,0.1131152157806006,0.336326055756316,0.10072299382385863,0.016223987603976565,0.12737341796456814
160,0.050242856588195293,0.22414918377766913,0.10909342068101498,0.018343209993928338,0.13543710715283436
161,0.2059338434765782,0.45379934274586403,0.11304651306072833,0.019048466131032064,0.13801618068557056
162,0.15708265732421914,0.3963365455319748,0.11020555200697572,0.019570984373780312,0.13989633438292912
163,-0.019424032034242235,,0.11632127022505359,0.02193081331384397,0.14809055781461547
164,-0.1844974900167386,,0.11709382708200962,0.02147816065282419,0.14655429250903634
165,0.009141129412684634,0.09560925380257203,0.11025816708586249,0.018240127432324033,0.13505601590571237
166,0.0663347736518903,0.257555379776642,0.11271393520778109,0.02075102703482434,0.1440521677546865
167,0.18593666082231403,0.4312037347035784,0.10847139401086899,0.018040267816835136,0.13431406410661223
168,0.1254370346594623,0.3541709116506638,0.11747266267535197,0.02194563532155396,0.14814059309167746
169,0.1343113442410577,0.36648512144568396,0.11456627455679932,0.019934840144877168,0.1411907934140083
170,0.08700957657660084,0.294973857446047,0.10598019209842575,0.01773130308761102,0.13315893919527527
171,-0.009971592590264543,,0.11107601169354706,0.019028953522096145,0.13794547300327092
172,0.06929175407809016,0.2632332693222689,0.1043375877389899,0.017118816813791286,0.13083889641001747
173,0.09530418244386503,0.3087137548666483,0.10580571801442133,0.017802497647712634,0.13342600064347515
174,0.12079011885685761,0.3475487287516063,0.1169896133519875,0.021052225418245044,0.1450938503805211
175,0.12588644847795366,0.35480480334678904,0.11805224598328493,0.02124427413544301,0.14575415649456797
176,0.16985841767844218,0.41213883301436444,0.11490562756768152,0.020375305103506245,0.14274209296316992
177,-0.009654968439636003,,0.10058685065645334,0.01575928057060994,0.12553597321329826
178,0.07683653819622467,0.2771940443015049,0.10701897268233948,0.018543956029001912,0.13617619479557325
179,0.07967456427974824,0.2822668317031745,0.10554743731285547,0.018144541914379225,0.13470167747425874
180,-0.1733107862386821,,0.12173912810377778,0.023257506110358116,0.15250411833900787
181,0.07358443981355514,0.27126452000502227,0.1285727431752076,0.025093758149048306,0.15841009484577775
182,-0.024858645183626505,,0.10777536109670047,0.018508298096244095,0.13604520607593673
183,0.17201636939704146,0.41474856165759205,0.10982411875554236,0.018561772324060262,0.13624159542540693
184,-0.009490828293151687,,0.11560548900530129,0.021278692321153488,0.14587217802293037
185,0.02366582650363074,0.15383701278831027,0.11005007589935092,0.019437721856841672,0.13941923058474276
186,0.001293879288221267,0.03597053361046048,0.11445804486393811,0.01956030857497476,0.13985817307177567
