,r2,r,MAE,MSE,RMSE
0,0.12440270262161815,0.352707673040463,0.10493617359994831,0.01671518292061248,0.12928721097081675
1,0.1729018374502219,0.4158146671898694,0.10641449724559923,0.017169988967070473,0.13103430454301068
2,0.039826096656204776,0.1995647680734372,0.10410186205016374,0.018233155139434815,0.13503020084201464
3,0.20372553732149612,0.4513596540692313,0.10311241477964124,0.016882105246879033,0.12993115579751852
4,0.025825731746789305,0.1607038635092178,0.12174159843357399,0.021851007541237043,0.14782086301073014
5,0.17730144639523462,0.4210717829482695,0.11960738471527818,0.021810535004415883,0.14768390231983947
6,0.2311681011800209,0.4807994396627568,0.11290663252477376,0.02118691219821694,0.1455572471511362
7,0.07079760138155547,0.2660781865947592,0.10791253635306278,0.018126550218657382,0.13463487742281857
8,0.2892966059411169,0.5378629992303959,0.10537974431979509,0.016375015975250914,0.12796490134115257
9,0.20245587956162728,0.4499509746201549,0.11006760171570311,0.018143019537273118,0.13469602643460987
10,0.15534406172610565,0.3941371103132838,0.11016858346033157,0.019621949662247454,0.14007836971583962
11,0.10367094033447785,0.3219797203776627,0.1061819321169617,0.017473168538160482,0.13218611325763566
12,0.13845337226702426,0.37209323061166305,0.10726837396785224,0.017963088590027966,0.13402644735285632
13,0.12507244404566817,0.35365582710548993,0.1125663231300209,0.020352614642774436,0.1426625902007055
14,0.24305328203573268,0.49300434281630084,0.09919128563594504,0.015372635578769722,0.12398643304317501
15,0.20557936358355128,0.4534086055464224,0.09938862173613172,0.0154483489595019,0.12429138731023119
16,0.25980365802694816,0.5097093858533,0.1001008760882098,0.015553256497101894,0.12471269581362554
17,0.10460770652903406,0.3234311465042198,0.10637077143531004,0.01754691148089929,0.1324647556178597
18,0.05208790587288483,0.22822775000618314,0.11256437496777176,0.01978786682509053,0.1406693528281499
19,0.19248695216096395,0.43873334972505107,0.09812116322074223,0.015432002573178885,0.12422561158303422
20,0.20647618757346486,0.45439650920035124,0.10719383128188689,0.01808592725445197,0.13448392935385242
21,0.08482186297558014,0.2912419320351727,0.10730533969313771,0.018632674792492615,0.13650155600758776
22,0.1943561796241941,0.44085845758496467,0.09266295923701466,0.013278740148757998,0.11523341593807761
