,r2,r,MAE,MSE,RMSE
0,-0.03595571429763209,,0.11177507985998467,0.021385107198077964,0.14623647697506242
1,-0.023088161691073174,,0.11657066586663886,0.020975734757214867,0.1448300202209986
2,0.05085658230181054,0.22551404014342552,0.13145964791003809,0.02560314820654654,0.16000983784301057
3,-0.2215824621412413,,0.11866462381434276,0.022845717889940564,0.15114799995349115
4,0.021396830703304937,0.14627655554908633,0.11363312360187879,0.020207693534529465,0.14215376721891498
5,0.0771640864921899,0.27778424449955746,0.11275342050221222,0.020022911447841824,0.1415023372522229
6,0.31377128958182327,0.5601529162486109,0.10856740888516278,0.017651695681184673,0.13285968418291785
7,0.03326699665563286,0.1823924248855551,0.1253442576014709,0.02409128608521467,0.1552136787954421
8,0.06688268667014033,0.2586168723616855,0.11800772615760795,0.022705780389270756,0.15068437340769864
9,0.1979915078811888,0.4449623668145305,0.10899868922268714,0.017869740738615452,0.13367774960185203
10,0.08121817770812012,0.28498803081554164,0.11525195780495649,0.020382231084414615,0.14276635137319513
11,0.03513454140978518,0.18744210148679294,0.11758301831028314,0.021856594932875534,0.14783976100114452
12,0.16128084064207696,0.40159785935943054,0.11213217967507498,0.0196833483122186,0.14029735675421187
13,0.07125036638734801,0.2669276426062839,0.1068295121060002,0.017058595899256436,0.13060855982383557
14,-0.07892762248164384,,0.12004598650057041,0.021546833136152528,0.1467883957816575
15,-0.004591221844777826,,0.105687499707832,0.017866929626239765,0.133667234677163
16,0.10126171262330315,0.3182164556136328,0.1106980189197124,0.01874361479468406,0.13690732191772673
17,0.15145685194344732,0.3891745777198805,0.10100831300682592,0.015501217165574278,0.12450388413850501
18,0.0699200539200101,0.26442400405411404,0.11728591582293488,0.021401526930718055,0.14629260723193793
19,0.21996739461786702,0.46900681724029025,0.10329561701654458,0.016753383058604583,0.12943486029120818
20,-0.11672607549480052,,0.11202288802576658,0.019117720057502934,0.1382668436665238
21,0.0681560466231883,0.26106713049173447,0.1175311101585363,0.022562210831115585,0.1502072262945947
22,0.2513198186403447,0.5013180813020259,0.10495799872169242,0.01692165750957285,0.13008327144399795
23,0.15244499502181574,0.39044205078579297,0.10615765843708973,0.017537017391262198,0.13242740423062818
24,0.02386306650893688,0.15447675070681957,0.11005392759968513,0.018941064353004727,0.13762653942101694
25,0.09039461020116364,0.3006569643317175,0.11686064424016569,0.021024208955022897,0.144997272233042
26,0.06034086291866856,0.24564377239952281,0.11861036670124063,0.02186679144030179,0.14787424197709956
27,0.0009761244205374053,0.03124298994234395,0.1279641981771272,0.024616331855079047,0.15689592682755996
28,0.0656707078089636,0.2562629661284744,0.11944419740417538,0.021952523736593028,0.14816384085394463
29,0.14420256803705617,0.37974013224448133,0.10011731231737024,0.016574670762500035,0.12874265323699072
30,0.07324279110468805,0.2706340538525927,0.1077794044435562,0.017443147546613014,0.1320725086708548
31,-0.044999703798068016,,0.09722556032163146,0.014647812230804627,0.12102814644042363
32,0.0291975179565531,0.1708728122217022,0.12027922102745223,0.02257593423513648,0.15025290092086901
33,0.07431533887653026,0.2726083983969134,0.10428985986906814,0.016983118675812363,0.1303192951017322
34,0.20091681821623714,0.4482374573997996,0.10325304539973719,0.016532210919547798,0.12857764548920547
35,0.24307834972647382,0.4930297655583016,0.11361374162880536,0.019054190169052576,0.1380369159647251
36,0.2026848848980646,0.45020538079643674,0.11244182661665869,0.019745626245985224,0.14051913124548282
37,0.14085375218730964,0.3753048789814884,0.1309037902612436,0.026478167811080394,0.162721135108751
38,0.07180763846685911,0.2679694730129891,0.1162547709121096,0.021345997033708264,0.1461026934512443
39,0.07201889192975726,0.26836335802370126,0.10854364315815276,0.018488799217335938,0.13597352395718784
40,0.11516046891702189,0.3393530151877568,0.12180787656201489,0.022192918200055183,0.14897287739738124
41,0.04278025869796052,0.2068338915602579,0.11429067400667585,0.020575616747609184,0.14344203270871891
42,0.03617348210968485,0.19019327566894906,0.10604127431954283,0.01718547778165429,0.1310933933562416
43,0.09195337703815983,0.3032381523459075,0.09129047156655959,0.013190028573023361,0.11484784966651905
44,0.10990149877096136,0.33151394958728564,0.09748117077298084,0.01415752405489808,0.11898539429231673
45,0.06265423207577614,0.2503082740857284,0.11745400064225117,0.021563975369487627,0.1468467751416
46,0.3020127504626735,0.5495568673601245,0.09943208972118964,0.015426504096918054,0.12420347860232439
47,0.01853646858612388,0.13614870027335507,0.12440786382547919,0.023346999746971856,0.15279725045619066
48,0.07383737294443708,0.2717303312926937,0.13083065976960612,0.026063239035499057,0.16144113179576963
49,0.08359812468342302,0.28913340291883094,0.12383035008432075,0.024455589694034052,0.1563828305602442
50,0.05336556948296691,0.23100989044403902,0.10924195254719367,0.018586562428104768,0.13633254354006885
51,0.08139077752204135,0.2852906895116652,0.1016236318210724,0.01613364291670063,0.12701827788432904
52,0.10012635598056405,0.31642748929346204,0.11440961470680336,0.020372350381575817,0.1427317427259116
53,-0.07482510255878841,,0.12461738670511364,0.02489023052078486,0.15776637956416714
54,0.15692787864358362,0.39614123572733956,0.11512052008467025,0.02004937859816996,0.14159582832191758
55,-0.03192271911743731,,0.10986482579793555,0.019369853492552037,0.13917562104245138
56,0.13338546735358928,0.36521975214052876,0.11714792671946932,0.020664336170794613,0.14375095189526438
57,0.060305590576847326,0.24557196618679283,0.11634035926290591,0.02036316632142981,0.14269956664765948
58,0.09088193247607543,0.30146630404752606,0.1213535828267421,0.02311557507255648,0.15203807112876855
59,0.18400674159123317,0.4289600699263664,0.10971214201988991,0.01811019149821787,0.13457411154534096
60,-0.04349987217078897,,0.10444249113163713,0.017720464329259982,0.13311823439807177
61,2.749043158110087e-05,0.005243131848532981,0.11241202005308248,0.02187222126700416,0.14789260044709526
62,0.12678520359310705,0.3560690994640044,0.1028041865743691,0.017348089813926493,0.13171214755642888
63,0.07270773009199043,0.26964370953536154,0.11349233058183668,0.019786369968669122,0.14066403224943155
64,0.07903238570138618,0.28112699212524256,0.10547701453289882,0.01759990705624328,0.1326646413187903
65,0.2002247257637305,0.44746477600335255,0.10336197217906969,0.01658925975304097,0.1287993002816435
66,0.21281252864913808,0.4613160832326769,0.09914737183954811,0.015534524318118189,0.12463757185583402
67,0.2107160021469079,0.4590381271168092,0.11211172156250238,0.018697706513470146,0.13673955723736328
68,0.1333689212116042,0.3651970991281341,0.11189680248466354,0.01894328123824253,0.13763459317425444
69,0.038134925352509355,0.1952816564670357,0.11324918382440963,0.021504787444307984,0.1466451071270637
70,0.09588643450847381,0.30965534794101945,0.11296357496646381,0.01932901529500723,0.13902882900681868
71,-0.005883054180523017,,0.12472949945370468,0.02470450538643062,0.15717666934513727
72,0.16804532562633284,0.4099333185120878,0.10405982655540007,0.01730423602191486,0.13154556633317163
73,0.0666335622536675,0.25813477536679846,0.11608834466089299,0.020828908314322554,0.14432223776785943
74,-0.03877129442175849,,0.11084967908310506,0.019180161618081244,0.13849246050988206
75,0.07368510285227721,0.2714500006488805,0.12021934710076213,0.02221154330499599,0.14903537601856812
76,0.0845314676442237,0.2907429580303256,0.09289537526002684,0.013599923505662822,0.1166187099296799
77,0.07952865398092615,0.28200825161850523,0.11793149003653944,0.022510010084261442,0.15003336323718616
78,0.010472950227565026,0.10233743316873364,0.11640499272533153,0.021517335087102865,0.14668788323206136
79,-0.054921447824020905,,0.1089586912625197,0.019127791840273932,0.1383032604108592
80,0.03899496106707534,0.19747141835484786,0.10456119494693528,0.01747184427052962,0.1321811040600343
81,0.04582393341960598,0.21406525504996363,0.11196380137247366,0.01883301223222006,0.13723342243134526
82,0.12130064284950345,0.3482824182319622,0.1242960236017103,0.023916193273514373,0.15464861225861154
83,0.2797288422876806,0.5288939801961076,0.11081633041294799,0.018501786249422374,0.13602127131232958
84,-0.02851103144391063,,0.11509585820628532,0.020119845389988143,0.14184444081453507
85,-0.03247951396461084,,0.11768326957855105,0.022830018878001193,0.15109605844627844
86,0.11777047879221458,0.3431770370992421,0.10571545027319969,0.017945156222188455,0.13395953203183586
87,0.09763572029877762,0.3124671507515272,0.10807278963824585,0.01914221460856891,0.13835539240871284
88,-0.059270968189554775,,0.11638066226267343,0.022137094191512042,0.14878539643228444
89,0.0458440590598701,0.21411225807942455,0.11403327833082308,0.019947257548850218,0.14123476041276176
90,-0.1082502891103577,,0.12135867799637723,0.02296125988205181,0.1515297326667338
91,0.20643673114335712,0.4543530908262396,0.1273155419185445,0.024229402040077987,0.15565796491049852
92,-0.025869714146446076,,0.11850265260032906,0.022649588014841245,0.15049780069768876
