,r2,r,MAE,MSE,RMSE
0,0.11265464619228849,0.3356406503871194,0.10402168840161967,0.016751672971364057,0.12942825414631867
1,0.08876373192755722,0.29793242845913437,0.10547388790718162,0.01715428639106863,0.13097437303178294
2,0.04254630604401562,0.2062675593592352,0.10985501605296488,0.01886381160445791,0.13734559186394701
3,0.06476758108366928,0.25449475649543213,0.1079014536642402,0.01761050823195435,0.1327045900937656
4,-0.048074439492470436,,0.10318522088950326,0.016796970767573846,0.1296031279235723
5,0.09100742673961329,0.3016743720298648,0.12554099158646195,0.02351167724929739,0.15333517942500147
6,0.04731232979903386,0.21751397610046547,0.1111348657410192,0.019066452202200743,0.13808132459605368
7,0.12324284859935428,0.3510596083279224,0.10839778432922675,0.017541229855218207,0.13244330808016766
8,0.019249018315065557,0.13874083146307564,0.1117338195948148,0.019391659817742275,0.13925394004387193
9,0.1211849689535183,0.3481163152647665,0.11550686350922894,0.020277639765426396,0.1423995778274163
10,0.04518318951711799,0.21256337764798053,0.1197240923773788,0.02182673206009817,0.14773872904590107
11,0.01410758043245477,0.1187753359601848,0.11721086558118625,0.022149130783581036,0.1488258404430529
12,0.08189970486262357,0.2861812447778917,0.1081413176859615,0.01870581274475742,0.13676919516015812
13,0.020271661842573695,0.1423785863203231,0.11541560113609069,0.02074831964919214,0.14404277020799114
14,0.007865275248703174,0.08868638705406356,0.1177551976810538,0.023117157856074877,0.15204327626065836
15,0.03681617985254389,0.1918754279540345,0.11733797079196226,0.022013243929011533,0.1483686083004472
16,0.11789197518181757,0.3433540085419385,0.10338052677144507,0.01678157809607863,0.12954373043910164
17,0.06266496657275351,0.2503297157205942,0.1154694349883876,0.020613881035968725,0.14357534968081648
18,0.006215901293956971,0.07884098739841461,0.10540999113360808,0.017529227161167654,0.13239798775346873
19,-0.00788650335425709,,0.12015644313574261,0.022501731760262527,0.15000577242313887
20,0.03089666103982147,0.17577446071549038,0.11116044776665401,0.019707235165329115,0.14038246031940427
21,-0.08931843667825526,,0.11471461137262648,0.021716280559675817,0.14736444808594718
22,0.06900192517635573,0.2626821752162787,0.11168404446264794,0.018703868943332903,0.13676208883799962
23,0.017415818394103465,0.13196900542969725,0.11291918906586626,0.019950068423771578,0.1412447111355734
24,0.04300037082623635,0.20736530767280326,0.11089984538360605,0.019771193938784733,0.14061007765727437
25,0.14107170377829706,0.3755951327936733,0.11502734601963367,0.020706960668757993,0.14389913366229135
26,0.07828316746154482,0.279791292683573,0.1110390476772993,0.019465734454328632,0.13951965615757742
27,0.057597008120695216,0.2399937668371727,0.1365817170398783,0.027717272414079168,0.16648505162349914
28,0.13657109627518427,0.36955526822815593,0.11751923641527744,0.020555535118205185,0.1433720165102144
29,-0.01841079383359927,,0.11188475167448408,0.01972326929397298,0.14043955744010653
30,0.1823422028032218,0.42701545967707283,0.10515955946240449,0.0163294440084815,0.12778671295749608
31,-0.04924847172258806,,0.12212853318844488,0.02350463153598269,0.15331220282802896
32,0.06870832839360111,0.26212273536189323,0.10922689787552334,0.01814483685321563,0.13470277225512337
33,-0.07022454472070275,,0.12020773733430808,0.022079077028976546,0.14859029924250286
34,0.08240113996642753,0.28705598751189204,0.11400775140477863,0.020088392504553344,0.14173352639567444
35,0.19225453936252146,0.43846840178343693,0.11969955701991322,0.02112301179318961,0.14533757873719244
36,0.14267550877620788,0.3777241172816582,0.11948290236519066,0.022472369239518307,0.14990786917142912
